ItemCode,DiscountPrice,OriginalPrice,GiftCode
25952,"$1,184.99","$1,219.99",B
25992,$308.99,$319.99,0
26000,$461.99,$479.99,0
26076,"$1,164.99","$1,199.99",B
26125,$162.99,$169.99,0
26126,$162.99,$169.99,0
26175,$219.99,$229.99,0
26183,$471.99,$489.99,0
26187,$423.99,$439.99,0
26200,$285.99,$299.99,0
26204,$285.99,$299.99,0
26208,$285.99,$299.99,0
26226,$825.99,$849.99,A
26252,$413.99,$429.99,0
26284,$480.99,$499.99,0
26328,"$1,067.99","$1,099.99",B
26329,"$1,397.99","$1,439.99",B
26346,"$1,087.99","$1,119.99",B
26347,"$1,155.99","$1,189.99",B
26354,$922.99,$949.99,A
26445,$835.99,$859.99,A
26447,$747.99,$769.99,A
26458,"$1,446.99","$1,489.99",B
26460,$776.99,$799.99,A
26461,$776.99,$799.99,A
26465,$576.99,$599.99,0
26469,$679.99,$699.99,A
26477,$970.99,$999.99,A
26479,$538.99,$559.99,0
26494,$471.99,$489.99,0
26706,"$1,213.99","$1,249.99",B
26733,"$1,213.99","$1,249.99",B
26776,$796.99,$819.99,A
26785,"$1,067.99","$1,099.99",B
26787,"$1,058.99","$1,089.99",B
26795,$471.99,$489.99,0
26807,$452.99,$469.99,0
27014,$285.99,$299.99,0
27137,"$2,328.99","$2,399.99",C
27168,$423.99,$439.99,0
27174,$375.99,$389.99,0
27179,$631.99,$649.99,A
27180,$631.99,$649.99,A
27185,$471.99,$489.99,0
27189,$452.99,$469.99,0
27254,$873.99,$899.99,A
27349,$670.99,$689.99,A
27471,$602.99,$619.99,A
27487,$576.99,$599.99,0
27620,$631.99,$649.99,A
27625,$631.99,$649.99,A
27627,$699.99,$719.99,A
27632,$670.99,$689.99,A
27688,$548.99,$569.99,0
27704,$471.99,$489.99,0
27755,$679.99,$699.99,A
27781,$423.99,$439.99,0
27788,$471.99,$489.99,0
28212,$423.99,$439.99,0
28216,$375.99,$389.99,0
28271,$641.99,$659.99,A
28284,$471.99,$489.99,0
28286,$528.99,$549.99,0
28316,$461.99,$479.99,0
28317,$471.99,$489.99,0
28471,$423.99,$439.99,0
28503,$471.99,$489.99,0
28516,$308.99,$319.99,0
28540,$631.99,$649.99,A
28651,$576.99,$599.99,0
28674,$825.99,$849.99,A
28739,$538.99,$559.99,0
28822,$602.99,$619.99,A
28856,$432.99,$449.99,0
28857,$452.99,$469.99,0
28896,$471.99,$489.99,0
28942,$285.99,$299.99,0
28954,$308.99,$319.99,0
28955,$308.99,$319.99,0
29498,$912.99,$939.99,A
29549,"$1,087.99","$1,119.99",B
29591,"$1,213.99","$1,249.99",B
29602,"$1,213.99","$1,249.99",B
29606,"$1,213.99","$1,249.99",B
29638,"$1,087.99","$1,119.99",B
29744,$631.99,$649.99,A
29748,$912.99,$939.99,A
29784,$621.99,$639.99,A
29821,"$1,213.99","$1,249.99",B
29858,"$1,038.99","$1,069.99",B
29886,"$1,979.99","$2,039.99",C
29888,$576.99,$599.99,0
303950,"$1,814.99","$1,869.99",B
31153,"$1,814.99","$1,869.99",B
31155,"$1,814.99","$1,869.99",B
800779,"$1,552.99","$1,599.99",B
800967,"$1,455.99","$1,499.99",B
802230,"$1,698.99","$1,749.99",B
802234,"$1,698.99","$1,749.99",B
802254,"$1,213.99","$1,249.99",B
802258,"$1,455.99","$1,499.99",B
80249,"$1,164.99","$1,199.99",B
80253,$308.99,$319.99,0
80258,$404.99,$419.99,0
80259,$404.99,$419.99,0
80325,"$1,455.99","$1,499.99",B
80342,"$1,087.99","$1,119.99",B
80348,"$1,087.99","$1,119.99",B
804405,"$1,291.99","$1,329.99",B
804426,"$1,087.99","$1,119.99",B
804440,$970.99,$999.99,A
80618,"$2,096.99","$2,159.99",C
16485,"$2,910.99","$2,999.99",C
202364,"$2,678.99","$2,759.99",C
203663,"$2,561.99","$2,639.99",C
203690,"$2,668.99","$2,749.99",C
205011,$576.99,$599.99,0
10010-7,"$1,455.99","$1,499.99",B
17324-8,"$3,958.99","$4,079.99",C
17324-9,"$4,414.99","$4,549.99",C
203212-8,"$3,027.99","$3,119.99",C
203212-9,"$3,376.99","$3,479.99",C
203260-8,"$2,328.99","$2,399.99",C
203260-9,"$2,561.99","$2,639.99",C
300205,"$1,814.99","$1,869.99",B
300987,"$2,096.99","$2,159.99",C
31155,"$1,814.99","$1,869.99",B
31165,"$1,979.99","$2,039.99",C
300202,"$2,445.99","$2,519.99",C
31153,"$1,814.99","$1,869.99",B
300959,"$1,814.99","$1,869.99",B
303950,"$1,814.99","$1,869.99",B
303945,"$1,979.99","$2,039.99",C
102183,$0.99,$0.00,0
102184,$0.99,$0.00,0
102186,$0.99,$0.00,0
102187,$0.99,$0.00,0
102189,$0.99,$0.00,0
102191,$0.99,$0.00,0
102192,$0.99,$0.00,0
102193,$0.99,$0.00,0
102194,$0.99,$0.00,0
102197,$0.99,$0.00,0
102198,$0.99,$0.00,0
102201,$0.99,$0.00,0
102202,$0.99,$0.00,0
102203,$0.99,$0.00,0
102204,$0.99,$0.00,0
102205,$0.99,$0.00,0
102206,$0.99,$0.00,0
102207,$0.99,$0.00,0
102208,$0.99,$0.00,0
102209,$0.99,$0.00,0
102210,$0.99,$0.00,0
102211,$0.99,$0.00,0
102212,$0.99,$0.00,0
102213,$0.99,$0.00,0
102214,$0.99,$0.00,0
102216,$0.99,$0.00,0
102217,$0.99,$0.00,0
102219,$0.99,$0.00,0
102220,$0.99,$0.00,0
102221,$0.99,$0.00,0
102222,$0.99,$0.00,0
102223,$0.99,$0.00,0
102224,$0.99,$0.00,0
102225,$0.99,$0.00,0
12856-7,$500.99,$519.99,0
12856-8,$576.99,$599.99,0
202317-6,$432.99,$449.99,0
202320-6,$432.99,$449.99,0
202854-6,$844.99,$869.99,A
203141-7,"$1,213.99","$1,249.99",B
203141-8,"$1,378.99","$1,419.99",B
203414-7,$970.99,$999.99,A
203414-8,"$1,087.99","$1,119.99",B
203565-10,$641.99,$659.99,A
203565-11,$679.99,$699.99,A
203565-12,$679.99,$699.99,A
203565-6,$602.99,$619.99,A
203565-7,$631.99,$649.99,A
203565-8,$631.99,$649.99,A
203565-9,$631.99,$649.99,A
203621-N,$602.99,$619.99,A
207076-7.5,$767.99,$789.99,A
23046-6,$631.99,$649.99,A
23146-7,"$1,029.99","$1,059.99",B
23146-8,"$1,164.99","$1,199.99",B
14219-16,$843.89,$869.99,A
14219-18,$969.99,$999.99,A
14219-20,"$1,086.39","$1,119.99",B
14219-22,"$1,202.79","$1,239.99",B
14219-24,"$1,319.19","$1,359.99",B
206020-A,$237.49,$249.99,0
