ItemRoot,UnitsLast365,Last365DaysSales,ItemAvgWeight,CountOnHand
25591,10.0,"$3,899.90",2.100,15
25603,12.5,"$3,249.88",1.720,30
25612,3.5,"$1,049.97",1.040,23
25613,12.0,"$3,119.88",1.000,23
25614,17.5,"$5,599.83",1.000,15
25617,6.0,"$1,739.94",1.400,25
25619,2.5,$849.98,1.300,18
25621,4.0,"$1,199.96",1.430,22
25626,5.5,"$2,089.95",2.400,24
25628,5.5,"$2,584.95",2.740,30
25635,1.0,$549.99,2.600,6
25729,3.0,"$8,609.97",15.600,0
25732,3.5,"$1,539.97",1.800,8
25735,22.0,"$21,999.78",5.200,14
25746,28.5,"$18,524.72",3.100,27
25749,39.5,"$17,379.61",1.900,23
25776,0.5,$395.00,3.900,15
25935,22.5,"$9,899.78",1.690,16
25952,5.0,"$6,099.95",6.000,5
25992,11.5,"$3,679.89",1.240,0
26000,0.0,$0.00,2.300,0
26076,0.0,$0.00,6.320,24
26125,4.0,$679.96,0.500,12
26126,4.0,$679.96,0.500,14
26175,0.5,$115.00,0.690,11
26183,18.5,"$9,064.82",2.300,15
26187,0.5,$220.00,1.620,13
26200,2.0,$599.98,1.300,12
26204,25.5,"$7,649.75",1.000,8
26208,22.5,"$6,749.78",1.200,9
26226,7.5,"$6,374.93",4.010,4
26252,3.5,"$1,504.97",1.800,18
26284,3.0,"$1,499.97",2.000,12
26328,2.0,"$2,199.98",5.580,5
26329,1.5,"$2,159.99",6.940,5
26346,4.0,"$4,479.96",6.000,12
26347,3.5,"$4,164.97",6.130,4
26354,5.5,"$5,224.95",4.500,6
26445,13.0,"$11,179.87",4.200,0
26447,0.5,$385.00,3.800,10
26458,6.0,"$8,939.94",7.340,7
26460,9.5,"$7,599.91",4.100,7
26461,15.0,"$11,999.85",4.000,10
26465,18.5,"$11,099.82",2.900,16
26469,3.0,"$2,099.97",3.420,19
26477,3.0,"$2,999.97",5.200,6
26479,4.5,"$2,519.96",2.540,11
26494,9.5,"$4,654.91",2.060,13
26706,3.0,"$3,749.97",6.400,3
26733,4.5,"$5,624.96",5.800,4
26776,4.5,"$3,689.96",4.130,2
26785,5.5,"$6,049.95",5.510,4
26787,0.0,$0.00,5.310,11
26795,5.0,"$2,449.95",2.100,6
26807,8.5,"$3,994.92",1.870,8
27014,0.5,$150.00,1.220,10
27137,9.5,"$22,799.91",13.120,7
27168,2.5,"$1,099.98",1.620,3
27174,4.0,"$1,559.96",1.520,10
27179,3.0,"$1,949.97",2.600,7
27180,4.5,"$2,924.96",3.100,0
27185,0.5,$245.00,1.850,11
27189,1.5,$704.99,1.740,5
27254,6.0,"$5,399.94",4.430,11
27349,2.0,"$1,379.98",3.210,0
27471,0.5,$310.00,2.920,11
27487,1.0,$599.99,2.700,13
27620,0.5,$325.00,2.930,6
27625,7.0,"$4,549.93",3.020,5
27627,0.5,$360.00,3.550,1
27632,2.0,"$1,379.98",3.300,0
27688,0.5,$285.00,2.800,10
27704,1.0,$489.99,2.200,6
27755,2.0,"$1,399.98",3.850,4
27781,6.5,"$2,859.94",1.700,7
27788,7.0,"$3,429.93",2.100,1
28212,7.5,"$3,299.93",1.720,0
28216,0.5,$195.00,1.450,14
28271,16.5,"$10,889.84",3.330,21
28284,23.5,"$11,514.77",2.120,0
28286,22.5,"$12,374.78",2.310,8
28316,19.0,"$9,119.81",1.640,0
28317,7.5,"$3,674.93",2.070,9
28471,5.5,"$2,419.95",1.800,21
28503,13.0,"$6,369.87",1.990,1
28516,0.5,$160.00,1.200,11
28540,0.5,$325.00,2.990,11
28651,7.5,"$4,499.93",3.010,12
28674,0.5,$425.00,4.600,6
28739,1.5,$839.99,2.300,45
28822,0.5,$310.00,3.060,14
28856,1.5,$674.99,1.930,12
28857,2.0,$939.98,2.250,8
28896,9.0,"$4,409.91",2.000,0
28942,3.0,$899.97,1.020,9
28954,29.5,"$9,439.71",1.360,10
28955,3.0,$959.97,1.470,6
29498,1.0,$939.99,5.580,7
29549,1.0,"$1,119.99",5.470,57
29591,1.5,"$1,874.99",6.300,9
29602,2.0,"$2,499.98",6.940,8
29606,4.0,"$4,999.96",6.450,1
29638,4.5,"$5,039.96",5.400,11
29744,7.0,"$4,549.93",2.700,13
29748,1.0,$939.99,5.400,9
29784,6.0,"$3,839.94",3.600,4
29821,3.5,"$4,374.97",6.650,1
29858,0.5,$535.00,5.200,17
29886,2.5,"$5,099.98",12.100,0
29888,0.5,$300.00,2.280,19
31153,0.5,$935.00,9.000,98
31155,1.0,"$1,869.99",9.200,116
31165,5.5,"$11,219.95",10.420,9
